short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,club_jersey_number,club_contract_valid_until_year,nationality_name,nation_jersey_number,preferred_foot,international_reputation,pace,shooting,dribbling,passing,physic,defending,PlayerID,ClubID,LeagueID,Professionalism,Ambition,Leadership,Loyalty,InjuryProneness
J. Bellingham,Jude Victor William Bellingham,"CAM, CM",90,94,174500000,320000,22,5,2029,England,10,Right,5,80,86,90,83,85,78,1,35,2,75,99,70,70,40
F. Valverde,Federico Santiago Valverde Dipetta,"CM, CDM, RB",89,90,120500000,340000,26,8,2029,Uruguay,,Right,4,88,84,84,84,85,83,2,35,2,85,90,90,70,45
J. Kimmich,Joshua Walter Kimmich,"CDM, RB, CM",89,89,86000000,140000,30,6,2029,Germany,6,Right,4,72,74,84,89,79,83,3,42,3,90,85,95,80,55
A. Hakimi,Achraf Hakimi Mouhأشرف حكيمي,"RB, RM",89,90,111000000,170000,26,2,2029,Morocco,2,Right,4,92,79,83,82,79,82,4,93,5,85,90,90,70,45
N. Barella,Nicolò Barella,CM,87,87,79500000,69000,28,23,2029,Italy,18,Right,4,80,78,86,84,76,81,5,67,4,80,85,75,80,50
H. Çalhanoğlu,Hakan Çalhanoğlu,"CDM, CM",86,86,47500000,61000,31,20,2027,Türkiye,,Right,4,71,81,82,87,73,81,6,67,4,85,80,80,80,50
F. Dimarco,Federico Dimarco,"LB, LM",85,85,52000000,54000,27,32,2027,Italy,3,Left,3,80,78,82,84,77,79,7,67,4,80,90,80,70,45
A. Mac Allister,Alexis Mac Allister,"CM, CDM",87,88,93000000,180000,26,10,2028,Argentina,20,Right,4,66,82,85,85,76,78,8,12,1,80,90,75,70,40
Rodri,Rodrigo Hernández Cascante,"CDM, CM",90,90,102000000,270000,29,16,2027,Spain,16,Right,5,65,80,84,86,85,86,9,13,1,80,90,75,80,50
A. Griezmann,Antoine Griezmann,"ST, LM, CAM",85,85,26000000,115000,34,7,2027,France,,Left,4,77,86,88,85,73,59,10,23,2,85,70,80,70,60
T. Hernández,Theo Bernard François Hernández,"LB, LM",84,85,44500000,65000,27,19,2028,France,22,Left,3,90,76,83,78,83,79,11,176,10,80,75,80,65,45
Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM, CM",87,87,77000000,165000,30,8,2027,Portugal,8,Right,4,67,83,83,89,75,65,12,14,1,85,85,80,80,50
J. Alvarez,Julián Álvarez,ST,87,90,107000000,125000,25,19,2030,Argentina,9,Right,4,85,87,87,81,79,57,13,23,2,75,80,80,60,55
T. Alexander-Arnold,Trent John Alexander-Arnold,"RB, RM",86,87,73000000,250000,26,12,2031,England,26,Right,4,76,72,80,89,74,80,14,35,2,85,90,90,70,45
Sancet,Oihan Sancet Tirapu,"CAM, CM, ST",84,88,58500000,66000,25,8,2032,Spain,,Right,3,76,83,85,80,82,70,15,22,2,75,80,65,70,45
A. Rabiot,Adrien Rabiot-Provost,"CAM, CM",83,83,35000000,71000,30,12,2028,France,14,Left,3,81,79,80,81,84,77,16,71,4,80,80,70,85,50
R. De Paul,Rodrigo Javier de Paul,"CM, CDM, CAM",84,84,34500000,100000,31,7,2026,Argentina,7,Right,3,75,78,83,83,83,76,17,138,8,80,70,70,80,50
S. Tonali,Sandro Tonali,"CDM, CM",86,88,76500000,175000,25,8,2028,Italy,8,Right,3,79,74,80,82,83,81,18,15,1,75,85,65,65,45
Marcos Llorente,Marcos Llorente Moreno,"RB, CM, RM",84,84,36500000,95000,30,14,2027,Spain,,Right,3,89,79,81,78,82,78,19,23,2,85,70,85,75,55
L. Goretzka,Leon Christoph Goretzka,"CM, CDM, CAM",82,82,29000000,78000,30,8,2026,Germany,8,Right,3,77,78,80,80,82,80,20,42,3,80,80,70,85,50
Vitinha,Vítor Machado Ferreira,"CM, CDM, CAM",89,91,128500000,170000,25,17,2029,Portugal,23,Right,4,72,80,90,86,70,75,21,93,5,80,90,75,70,40
M. Salah,Mohamed Salah Hamed Ghalyمحمد صلاح,"RM, RW",91,91,82000000,370000,33,11,2027,Egypt,,Left,5,89,88,90,86,76,45,22,12,1,90,85,95,80,65
M. Sabitzer,Marcel Sabitzer,"CDM, CM",80,80,15000000,52000,31,20,2027,Austria,,Right,3,74,80,80,80,76,76,23,45,3,80,75,70,85,50
D. Rice,Declan Rice,"CDM, CM",87,88,83500000,210000,26,41,2028,England,4,Right,4,72,73,80,84,83,83,24,1,1,80,90,75,70,40
João Cancelo,João Pedro Cavaco Cancelo,"RB, LB, RM",84,84,30500000,68000,31,20,2027,Portugal,24,Right,3,83,73,84,84,74,78,25,176,10,85,65,85,75,55
F. de Jong,Frenkie de Jong,"CM, CDM",87,87,79500000,170000,28,21,2026,Netherlands,21,Right,4,82,71,87,85,77,78,26,24,2,80,85,75,80,50
T. Reijnders,Tijjani Martinus Jan Reijnders Lekatompessy,"CM, CDM, CAM",86,87,79500000,190000,26,4,2030,Netherlands,14,Right,4,79,79,85,82,77,77,27,13,1,80,90,75,70,40
D. Szoboszlai,Dominik Szoboszlai,"CAM, CM",83,86,49500000,110000,24,8,2028,Hungary,10,Right,3,79,82,82,84,76,67,28,12,1,70,90,60,75,45
Raphinha,Raphael Dias Belloli,"LM, LW",89,89,104000000,200000,28,11,2028,Brazil,,Left,4,91,84,87,85,75,53,29,24,2,75,85,80,80,65
B. Saka,Bukayo Saka,"RW, RM",88,90,118500000,230000,23,7,2027,England,25,Left,4,84,82,88,85,73,60,30,1,1,75,95,70,70,40
S. Milinković-Savić,Sergej Milinković-SavićСергеј Милинковић-Савић,"CM, CDM, CAM",84,84,40500000,70000,30,22,2026,Serbia,,Right,3,62,80,81,81,88,78,31,176,10,80,70,70,75,50
Pedri,Pedro González López,"CM, CDM, CAM",89,93,149500000,170000,22,8,2030,Spain,20,Right,4,77,73,91,85,77,78,32,24,2,75,95,70,70,40
Bruno Guimarães,Bruno Guimarães Rodrigues Moura,"CM, CDM",86,87,77500000,190000,27,39,2028,Brazil,,Right,4,66,75,84,84,81,79,33,15,1,80,85,75,65,40
O. Dembélé,Masour Ousmane Dembélé,"ST, RW, CAM",90,90,122500000,220000,28,10,2028,France,7,Left,5,91,88,93,83,69,50,34,93,5,80,90,75,80,50
João Neves,João Pedro Gonçalves Neves,"CM, CDM",85,90,79500000,90000,20,87,2029,Portugal,15,Right,3,74,71,84,80,83,82,35,93,5,65,95,55,70,45
R. Gravenberch,Ryan Jiro Gravenberch,"CDM, CM",85,88,66500000,125000,23,38,2028,Netherlands,8,Right,3,76,76,85,81,81,81,36,12,1,70,95,60,70,40
L. Martínez,Lautaro Javier Martínez,ST,88,88,99000000,79000,27,10,2029,Argentina,22,Right,5,81,88,84,75,83,51,37,67,4,75,90,80,70,55
H. Mkhitaryan,Henrikh Mkhitaryan,CM,83,83,11500000,37000,36,22,2026,Armenia,,Right,3,77,78,83,82,75,72,38,67,4,80,75,70,85,60
K. De Bruyne,Kevin De Bruyne,"CM, CAM",87,87,36500000,175000,34,11,2027,Belgium,,Right,4,66,83,84,92,72,65,39,72,4,85,75,80,75,60
T. Koopmeiners,Teun Koopmeiners,"CAM, CM",81,81,27500000,120000,27,8,2029,Netherlands,25,Left,3,70,79,78,83,75,75,40,68,4,75,85,65,75,45
K. Kvaratskhelia,Khvicha Kvaratskheliaხვიჩა კვარაცხელია,"LW, RW, LM",87,90,109000000,140000,24,7,2029,Georgia,,Right,3,86,80,88,83,78,58,41,93,5,70,95,60,70,45
Grimaldo,Alejandro Grimaldo García,"LM, LB, LW",84,84,41500000,110000,29,20,2027,Spain,15,Left,3,72,73,85,87,67,74,42,43,3,80,70,80,75,55
R. James,Reece James,RB,81,84,31500000,115000,25,24,2028,England,3,Right,3,76,71,77,82,81,81,43,7,1,80,85,80,75,45
F. Kostić,Filip KostićФилип Костић,"LM, LB, LW",81,81,20500000,125000,32,18,2026,Serbia,,Left,3,82,76,80,81,77,70,44,68,4,85,75,85,85,65
C. Gallagher,Conor Gallagher,"CM, CAM, LM",81,85,35500000,70000,25,4,2029,England,,Right,3,75,76,78,80,84,79,45,23,2,75,75,65,65,45
Mikel Merino,Mikel Merino Zazón,"CM, ST",83,83,35500000,160000,29,23,2028,Spain,6,Left,3,63,79,80,80,80,81,46,1,1,75,80,65,85,55
E. Fernández,Enzo Jeremías Fernández,"CM, CDM, CAM",84,87,57000000,140000,24,8,2032,Argentina,24,Right,3,68,75,81,85,75,73,47,7,1,70,90,60,75,45
Fred,Frederico Rodrigues de Paula Santos,"CM, CDM, CAM",80,80,16500000,60000,32,7,2027,Brazil,,Left,3,77,71,82,78,75,76,48,195,11,80,70,70,80,60
D. Alaba,David Olatukunbo Alaba,"CB, LB, LM",82,82,14500000,185000,33,4,2026,Austria,,Left,3,68,71,79,82,75,82,49,35,2,85,75,85,85,65
I. Bennacer,Ismaël Bennacerاسماعيل بن ناصر,"CDM, CM",80,82,23000000,25000,27,99,2027,Algeria,,Left,3,76,72,83,80,74,76,50,271,99,75,80,65,70,45
B. Yılmaz,Barış Alper Yılmaz,"LM, RM, LW",80,83,28000000,55000,25,53,2028,Türkiye,,Right,3,93,77,79,72,90,69,51,196,11,80,80,80,70,45
Pedro Porro,Pedro Antonio Porro Sauceda,"RB, RM",82,85,37000000,105000,25,23,2028,Spain,12,Right,3,78,73,80,81,76,77,52,18,1,80,85,80,75,45
